"OTU"	"Carey2015_1"	"Carey2015_2"	"Leff2015_1"	"Leff2015_2"	"Leff2015_3"	"Leff2015_4"	"Leff2015_5"	"Leff2015_6"	"Li2016_1"	"Li2016_2"	"McHugh2017"	"Obrien2016"	"Wang2017"	"Freq"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"OTU_1034"	-0.849834783564302	-0.166342301776779	NA	NA	0.816140809203098	NA	NA	NA	-0.530939522526327	NA	NA	0.719488263933149	0.0628088948509437	6	"Proteobacteria"	"Deltaproteobacteria"	"NB1-j"	"unidentified"	"unidentified"	0.0513213601197827	0.00855356001996378	1
"OTU_1035"	0.292142093417519	0.0123299241643658	1.21450924011827	0.820940242109169	NA	NA	NA	NA	NA	NA	0.30375403781049	-0.494294860222499	0.834678568005419	7	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	2.98405924540273	0.426294177914676	1
"OTU_1037"	NA	NA	-0.795335458866948	-0.17596096010987	-1.69050349376347	0.264191011598724	-0.202528831317339	-1.23713423966511	-0.150420886105663	0.382891342476946	NA	-0.26569238842584	NA	9	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae(Subgroup3)"	"CandidatusSolibacter"	-3.87049390417857	-0.430054878242063	-1
"OTU_104"	NA	NA	0.320856522985306	NA	-0.803177603277729	0.217206737351963	0.648721973977903	0.369677893858856	1.29100264717496	-0.0594907625539399	NA	0.0251546101759295	NA	8	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"Planctomyces"	2.00995201969325	0.251244002461656	1
"OTU_1042"	NA	NA	0.598051122926009	NA	-0.278045557350748	NA	NA	NA	-1.44955592984369	NA	NA	-0.0513297215235501	-0.446810803007695	5	"Verrucomicrobia"	"OPB35soilgroup"	"unculturedbacterium"	"unidentified"	"unidentified"	-1.62769088879967	-0.325538177759935	-1
"OTU_10424"	0.38081186649643	0.375424237942385	NA	NA	NA	1.23871915826711	-0.0231935067803136	NA	0.134559633479916	-1.19685264547922	NA	0.0504353940904487	-0.490438740351292	8	"Acidobacteria"	"Subgroup17"	"unculturedAcidobacterialesbacterium"	"unidentified"	"unidentified"	0.469465397665464	0.058683174708183	1
"OTU_1044"	-0.106242490784628	0.251404644357979	1.21212679838999	0.845782805967859	NA	NA	NA	NA	NA	NA	-0.143264921586256	0.280451003254172	0.988629537113917	7	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	3.32888737671303	0.475555339530433	1
"OTU_105"	NA	NA	-0.0523877828994484	NA	0.572582814084819	0.0476771263706713	NA	NA	-0.799420619267629	0.191150081153907	NA	0.279509039835063	NA	6	"Proteobacteria"	"Deltaproteobacteria"	"Desulfurellales"	"Desulfurellaceae"	"H16"	0.239110659277383	0.0398517765462305	1
"OTU_1052"	0.0682850663850571	-0.321443352835091	NA	NA	NA	NA	NA	NA	-0.429558042690871	NA	NA	0.414757360410506	0.172943244566985	5	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"BIrii41"	"unculturedbacterium"	-0.0950157241634139	-0.0190031448326828	-1
"OTU_10523"	-0.418965004928266	0.0109600654115203	NA	NA	-0.111763667065473	NA	NA	NA	NA	NA	NA	-0.374980853105177	-0.267889191998862	5	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae(Subgroup4)"	"RB41"	-1.16263865168626	-0.232527730337252	-1
"OTU_10541"	NA	NA	NA	NA	NA	-0.950805391133179	0.553347229987892	NA	-1.67781819626961	-0.503137934817432	NA	-0.0977347104055838	NA	5	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Coxiella"	-2.67614900263791	-0.535229800527583	-1
"OTU_1056"	NA	NA	NA	-0.758688618749066	-1.4369078325126	-0.819126206300071	0.413734260250833	-0.126829803833471	0.771004676914425	0.536870027689966	-0.356523330672946	0.841751690138062	NA	9	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Acidothermaceae"	"Acidothermus"	-0.934715137074868	-0.103857237452763	-1
"OTU_1058"	0.0173361963171249	-0.354572590329927	0.458713386254591	NA	-0.470099788559957	-0.180268531893778	-0.370034090720912	-0.898136873638671	-0.350326548679198	NA	NA	-0.20758096498508	NA	9	"Elusimicrobia"	"Elusimicrobia"	"LineageIIa"	"unculturedbacterium"	"unidentified"	-2.35496980623581	-0.261663311803979	-1
"OTU_1059"	NA	-0.0569540853041131	-0.722369163500242	NA	NA	0.475453732168718	0.360039416073886	NA	0.801578530580367	-1.08446313186199	0.0934022023716305	0.173576719097133	-0.0147876341161623	9	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"uncultured"	0.0254765855092271	0.00283073172324745	1
"OTU_106"	NA	NA	-0.509682097198391	NA	0.186943492056028	0.773124318353294	0.0683455566149412	0.620568912412268	0.541365361889903	-0.88760769200292	NA	-0.626427812101295	NA	8	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Rhodanobacter"	0.166630040023828	0.0208287550029785	1
"OTU_1061"	NA	NA	-0.0216573181030376	NA	-0.784534723386347	0.748180304579406	NA	-1.02458600773196	-0.646413913092093	0.137724837456671	NA	-0.00948739434634677	NA	7	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"uncultured"	"unidentified"	-1.60077421462371	-0.22868203066053	-1
"OTU_10632"	-0.0574291927251079	-0.226478829565857	NA	NA	NA	NA	NA	NA	-0.464544762241012	NA	NA	0.454899740204605	0.353966198660564	5	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"TK34"	"unculturedalphaproteobacterium"	0.0604131543331921	0.0120826308666384	1
"OTU_1066"	0.252727278950615	-0.665015295395015	0.257083955228026	-1.01134248033287	NA	0.63155682358357	0.969272055376497	NA	0.120144686926766	0.423106958600298	0.403076677247097	0.166612490149671	0.53237931561564	11	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"unidentified"	2.07960246595029	0.189054769631845	1
"OTU_10660"	NA	NA	-0.0746480930087806	-0.0447119157084392	NA	0.223220843710642	0.0933218027227632	-0.847838370020194	0.0171372803942395	NA	NA	-0.116779131726906	0.154432133020001	8	"Proteobacteria"	"Deltaproteobacteria"	"Oligoflexales"	"0319-6G20"	"unculturedbacterium"	-0.595865450616674	-0.0744831813270843	-1
"OTU_1068"	-0.241383468087282	0.207957160389254	NA	NA	NA	NA	NA	NA	-1.12163628261974	0.290298301711632	-0.288487638763122	0.570713372652483	0.460370171765594	7	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"	-0.122168382951181	-0.017452626135883	-1
"OTU_107"	0.332920806420931	0.788498312498635	-1.08650614406977	-0.270986056094807	0.992748867314766	0.0162302101920638	0.197803308827747	-1.7189284500611	0.270638307569827	0.0231836923954614	0.116649111607774	-0.361846916649563	NA	12	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Burkholderia-Paraburkholderia"	-0.699594950048035	-0.0582995791706696	-1
"OTU_1070"	NA	NA	-0.071754122523573	0.246869604719779	0.315448066864545	0.302272713483801	-0.111189213221325	-0.381783706098074	0.526523729043558	-0.258329502584621	-0.177971725361762	-0.508929766901202	NA	10	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	-0.118843922578874	-0.0118843922578874	-1
"OTU_1071"	0.04093461214807	0.120296295904454	NA	NA	NA	NA	NA	NA	NA	NA	0.150493302552902	-0.36029961502283	1.26819917515547	5	"Gemmatimonadetes"	"Longimicrobia"	"Longimicrobiales"	"Longimicrobiaceae"	"unculturedbacterium"	1.21962377073807	0.243924754147613	1
"OTU_10718"	0.8009300139829	-0.275347330520299	-0.267781936672717	NA	NA	NA	NA	NA	-1.1068733551747	-0.207543934834405	NA	0.268647859410071	NA	6	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"RhodospirillalesIncertaeSedis"	"Reyranella"	-0.78796868380915	-0.131328113968192	-1
"OTU_1073"	0.0511440134699201	-0.332626967131524	0.240774418978554	NA	NA	NA	NA	NA	NA	NA	NA	0.767700723087959	-0.550219238371948	5	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"PHOS-HE51"	"unculturedbacterium"	0.176772950032961	0.0353545900065922	1
"OTU_1076"	-0.359740713044822	NA	-0.388689980168566	-0.314601722051421	0.535796824235569	0.470123679101927	NA	0.602709818657642	0.3434255291107	0.496681607800535	NA	-0.175231276497101	NA	9	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"uncultured"	"unculturedalphaproteobacterium"	1.21047376714446	0.134497085238274	1
"OTU_10769"	NA	NA	NA	NA	NA	0.448714450946076	-0.134987825592434	NA	0.302360500305093	0.0348770965557387	NA	0.107846980339355	NA	5	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"XanthomonadalesIncertaeSedis"	"Acidibacter"	0.758811202553829	0.151762240510766	1
"OTU_1078"	NA	NA	0.105020810958692	NA	0.691584346784361	NA	NA	NA	0.283490343550076	NA	NA	0.319685240467802	0.257896434022887	5	"Acidobacteria"	"Subgroup17"	"Ambiguous_taxa"	"unidentified"	"unidentified"	1.65767717578382	0.331535435156764	1
"OTU_10781"	-0.354375740775684	0.0313851584280681	0.56062421475046	NA	0.0822474014098344	0.104795984262559	NA	-0.879713382875174	NA	NA	NA	-0.040164201714497	-0.0691237676126654	8	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unidentified"	"unidentified"	-0.564324334127099	-0.0705405417658874	-1
"OTU_108"	NA	NA	0.731088369619538	-0.542541822529507	-1.14795049931123	-0.00526028945307995	0.8530769628977	0.238991466975026	-0.384823400869429	0.0904258708089663	NA	-0.804079272627319	NA	9	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	"Haliangium"	-0.971072614489335	-0.107896957165482	-1
"OTU_10832"	0.0620670669268925	-0.00703438163853237	0.527494043051846	NA	-0.0784039132431824	1.08469802061857	-0.129133214388623	0.163444325078795	-0.48403956041268	0.393107173552236	NA	0.133442970815033	-0.228725094102379	11	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unidentified"	"unidentified"	1.43691743625798	0.130628857841634	1
"OTU_1084"	NA	NA	-1.10666117301394	0.407654817807119	NA	0.2935046625033	0.00227705099818831	-0.923657315186965	0.507502960192938	-0.0843221259294563	NA	0.122514824066756	NA	8	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae(Subgroup3)"	"Bryobacter"	-0.78118629856206	-0.0976482873202575	-1
"OTU_10844"	NA	NA	NA	0.623608923893912	NA	0.210677008097254	-0.661458720937435	0.401912303449954	2.45350554760446	-0.135585773282433	-0.637231924893366	NA	-0.479170605645062	8	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"unidentified"	1.77625675828728	0.22203209478591	1
"OTU_1085"	NA	NA	-0.216449465481001	NA	0.369961863977285	NA	NA	0.755017679551441	-1.12324231055956	-0.381694134620122	NA	-0.408813431256099	0.00879986092728604	7	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"uncultured"	"unculturedbacterium"	-0.99641993746077	-0.142345705351539	-1
"OTU_10885"	NA	NA	NA	NA	NA	0.0521965154874433	-0.103459732221197	NA	1.15076111968015	-0.49998755430801	NA	0.057410632671097	NA	5	"Proteobacteria"	"Deltaproteobacteria"	"Oligoflexales"	"0319-6G20"	"unidentified"	0.656920981309483	0.131384196261897	1
"OTU_10895"	0.523898748847069	0.19241188556623	-0.351979440728601	-0.435772297309922	1.23577015880117	0.0614399304975568	-0.393619814188515	0.0844442976345167	NA	NA	NA	-0.777806279017347	NA	9	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	0.138787190102158	0.0154207989002397	1
"OTU_109"	-0.173983846074312	-0.0373689624813558	-0.428542763088817	-0.674057327414443	-0.405253510709719	-0.783620244762211	0.510198502208402	0.0687137089975701	-0.505657003010696	0.0578621037761879	0.30237104043736	-0.411872139854616	-0.256584915814728	13	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Myxococcaceae"	"uncultured"	-2.73779535779138	-0.210599642907029	-1
"OTU_1090"	NA	NA	0.0916700738756212	NA	-2.86009659647937	NA	NA	NA	-0.719160618989315	-0.748372528766682	NA	0.0595551272089313	NA	5	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"BIrii41"	"unidentified"	-4.17640454315081	-0.835280908630163	-1
"OTU_1093"	NA	NA	NA	NA	NA	0.152456804489996	0.558616150490154	NA	0.564900447977786	0.199055395562223	NA	NA	-0.411546032069324	5	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae(Subgroup4)"	"11-24"	1.06348276645084	0.212696553290167	1
"OTU_1097"	0.840691280000837	-0.418693596127265	NA	NA	-0.573561414118685	NA	NA	NA	-0.148840035235897	-0.775406945832065	NA	0.03268508380112	0.47689656251609	7	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	"Haliangium"	-0.566229064995865	-0.0808898664279807	-1
"OTU_1099"	NA	NA	NA	NA	-1.24335257463363	1.08639926658507	0.0278113201535057	NA	0.573670552706094	0.586206136350252	NA	0.136770844491162	NA	6	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"uncultured"	1.16750554565245	0.194584257608742	1
"OTU_11"	NA	NA	-0.274086523734778	NA	NA	0.505820889622381	-0.26968505999035	NA	0.678368722745256	0.997616352804361	NA	NA	NA	5	"Chloroflexi"	"JG37-AG-4"	"unidentified"	"unidentified"	"unidentified"	1.63803438144687	0.327606876289374	1
"OTU_110"	NA	-0.285528340966828	0.570762931162671	NA	1.18346499869258	NA	NA	NA	-1.11831301783148	-1.04836506753033	-0.171533467540095	-0.0439174330141788	-0.277112831397564	8	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"0319-6A21"	"unculturedbacterium"	-1.19054222842522	-0.148817778553153	-1
"OTU_1100"	NA	NA	NA	1.29065438694736	NA	0.0950555359223801	-0.468331638910258	NA	0.332277599902511	-0.144407330415653	NA	NA	NA	5	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Asticcacaulis"	1.10524855344634	0.221049710689268	1
"OTU_11031"	-0.57185586449852	0.0328410843953218	NA	-0.508149022336382	NA	NA	NA	NA	NA	NA	NA	-0.383262026629093	0.226298907122641	5	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Parviterribacteraceae"	"Parviterribacter"	-1.20412692194603	-0.240825384389206	-1
"OTU_11032"	-0.234613262402848	0.624837849521665	NA	0.394126322322926	NA	0.234395778835282	-1.00573721797695	-0.303034421805081	-0.259368592378396	0.240193164792783	-0.171517649321989	-0.0334254624920618	0.101170809474773	11	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"	"Ambiguous_taxa"	-0.412972681429897	-0.0375429710390815	-1
"OTU_1105"	NA	NA	0.187674609469328	NA	-0.0828799577671836	NA	NA	NA	0.0920698851222329	-1.22179122207476	NA	-0.0913734401404536	NA	5	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"DA111"	"unidentified"	-1.11630012539084	-0.223260025078167	-1
"OTU_11085"	NA	NA	NA	NA	0.459523563763753	NA	NA	NA	-1.2753632551472	0.0958817573343352	NA	-0.00555775283204164	-0.245103790277138	5	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"unidentified"	-0.970619477158292	-0.194123895431658	-1
"OTU_111"	0.373387698971025	0.455623622832185	0.118768395866835	-1.08560132973234	1.18818556322123	0.106609233287209	NA	-0.573818026386328	0.386272198392026	0.148269100267464	NA	0.336691979402062	NA	10	"Verrucomicrobia"	"OPB35soilgroup"	"unculturedVerrucomicrobiasubdivision3bacterium"	"unidentified"	"unidentified"	1.45438843612137	0.145438843612137	1
"OTU_1110"	NA	NA	0.179647423925545	NA	0.241734731552596	NA	NA	NA	-0.218902765670539	0.758133018865899	NA	0.673459492632947	NA	5	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Aquicella"	1.63407190130645	0.32681438026129	1
"OTU_1112"	-0.00952035105431731	0.277077074155006	NA	NA	NA	NA	NA	NA	-0.73135217238229	NA	NA	-0.115083857034602	-0.340482641233832	5	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	"Haliangium"	-0.919361947550035	-0.183872389510007	-1
"OTU_1115"	0.419945640801682	-0.779062096910507	0.16335158496628	NA	NA	NA	-0.65532523051804	-0.340685502313136	-0.372415466851546	-0.254149281031161	NA	0.0376576901506679	NA	8	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Polyangiaceae"	"Sorangium"	-1.78068266170576	-0.22258533271322	-1
"OTU_11150"	NA	NA	NA	0.081079180722178	NA	-0.42886235982853	0.268545002668499	NA	0.267444392222879	0.152950438525887	NA	-0.291845776628399	NA	6	"Verrucomicrobia"	"OPB35soilgroup"	"unidentified"	"unidentified"	"unidentified"	0.049310877682514	0.00821847961375234	1
"OTU_1117"	NA	NA	-0.16352024479537	-2.30518885426959	-0.370590139524478	-0.0047935254027716	NA	NA	0.260171548481194	1.06111932656097	NA	-0.0365481492332141	NA	7	"Planctomycetes"	"Phycisphaerae"	"Tepidisphaerales"	"Tepidisphaeraceae"	"Ambiguous_taxa"	-1.55935003818326	-0.222764291169037	-1
